NodeA,NodeB,Weights
86,10150,1.0
86,7414,1.0
86,4617,1.0
86,12340,1.0
86,12898,1.0
86,6404,1.0
86,6194,0.0
86,7785,0.0
87,4001,1.0
87,8575,1.0
87,10676,1.0
87,1674,1.0
87,674,1.0
87,2881,1.0
87,1683,1.0
87,11968,1.0
87,5706,1.0
87,7393,1.0
88,12300,1.0
88,11021,1.0
88,7617,1.0
88,9080,1.0
88,11830,1.0
88,7006,1.0
88,7682,1.0
88,3672,1.0
88,6447,0.0
88,380,0.0
89,12256,1.0
89,2004,1.0
89,9569,1.0
89,939,1.0
89,4898,1.0
89,7764,1.0
89,10147,1.0
89,9160,0.0
89,3461,0.0
89,3210,0.0
90,11424,1.0
90,2540,1.0
90,1304,1.0
90,54,1.0
90,7831,1.0
90,4124,1.0
90,1503,1.0
90,9834,1.0
90,8411,1.0
90,6760,0.0
91,9007,1.0
91,3783,1.0
91,5994,1.0
91,2210,1.0
91,5900,1.0
91,5731,1.0
91,5019,1.0
91,3075,1.0
91,3831,0.0
91,5815,0.0
92,12445,1.0
92,5878,1.0
92,5849,1.0
92,3549,1.0
92,96,1.0
92,5874,1.0
92,8569,1.0
92,2749,1.0
92,205,1.0
92,3358,1.0
93,1123,1.0
93,8166,1.0
93,5787,1.0
93,4487,1.0
93,5978,1.0
93,7117,1.0
93,7199,1.0
93,8516,1.0
93,7536,1.0
93,490,1.0
94,3377,1.0
94,11807,1.0
94,2686,1.0
94,10200,1.0
94,7664,1.0
94,746,1.0
94,6325,1.0
94,2984,1.0
94,1030,0.0
94,11837,0.0
95,5652,1.0
95,11111,1.0
95,13111,1.0
95,1927,1.0
95,11175,1.0
95,7557,1.0
95,10163,1.0
95,9446,1.0
95,5264,1.0
95,10623,1.0
96,92,1.0
96,2697,1.0
96,3358,1.0
96,11247,1.0
96,10932,1.0
96,3781,1.0
96,2920,1.0
96,5808,1.0
96,9086,1.0
96,8983,0.0
97,8318,1.0
97,5846,1.0
97,3527,1.0
97,10312,1.0
97,9143,1.0
97,5057,1.0
97,9675,1.0
97,6032,1.0
97,1950,1.0
97,5776,0.0
98,2164,1.0
98,4955,1.0
98,1147,1.0
98,9421,1.0
98,8633,1.0
98,3216,1.0
98,1551,1.0
98,435,1.0
98,11068,0.0
98,3947,0.0
99,3609,1.0
99,4982,1.0
99,3395,1.0
99,7538,1.0
99,2406,1.0
99,2904,1.0
99,50,1.0
99,11032,1.0
99,861,1.0
99,3852,0.0
100,641,1.0
100,8348,1.0
100,1668,1.0
100,10085,1.0
100,11456,1.0
100,6875,1.0
100,11380,1.0
100,8242,1.0
100,4986,1.0
100,3210,0.0
101,10527,1.0
101,1941,1.0
101,8253,1.0
101,887,1.0
101,2658,1.0
101,11292,1.0
101,6717,1.0
101,6147,1.0
101,6263,1.0
101,3381,0.0
102,10452,1.0
102,1869,1.0
102,423,1.0
102,9184,1.0
102,1353,1.0
102,1997,1.0
102,7849,1.0
102,8789,1.0
102,502,0.0
102,6177,0.0
103,5467,1.0
103,6943,1.0
103,3850,1.0
103,338,1.0
103,10820,1.0
103,8191,1.0
103,5647,1.0
103,11361,0.0
103,12632,0.0
103,8789,0.0
104,7151,1.0
104,3496,1.0
104,5318,1.0
104,7991,1.0
104,11072,1.0
104,13047,1.0
104,10542,1.0
104,9957,1.0
104,7559,1.0
104,10391,1.0
105,745,1.0
105,10500,1.0
105,7163,1.0
105,7591,1.0
105,11387,1.0
105,6583,1.0
105,10339,1.0
105,8258,1.0
105,10160,0.0
105,2979,0.0
106,3576,1.0
106,9303,1.0
106,183,1.0
106,6740,1.0
106,2273,1.0
106,7347,1.0
106,2973,1.0
106,7726,1.0
106,8565,1.0
106,1172,0.0
107,4289,1.0
107,439,1.0
107,3386,1.0
107,2985,1.0
107,4651,1.0
107,997,1.0
107,2571,1.0
107,6652,1.0
107,6006,0.0
107,9189,0.0
108,4483,1.0
108,7781,1.0
108,6058,1.0
108,4371,1.0
108,8818,1.0
108,10062,1.0
108,4379,1.0
108,4733,1.0
108,7970,0.0
108,9343,0.0
109,12218,1.0
109,2329,1.0
109,7476,1.0
109,5571,1.0
109,5917,1.0
109,471,1.0
109,12701,1.0
109,810,0.0
109,4435,0.0
109,12961,0.0
110,3126,1.0
110,2717,1.0
110,4086,1.0
110,10762,1.0
110,5501,1.0
110,2469,1.0
110,10451,1.0
110,6369,1.0
110,7776,1.0
110,6118,0.0
111,5363,1.0
111,198,1.0
111,8024,1.0
111,260,1.0
111,11754,1.0
111,11256,1.0
111,3113,1.0
111,5874,1.0
111,3050,1.0
111,2718,0.0
112,2250,1.0
112,1560,1.0
112,8832,1.0
112,7221,1.0
112,338,1.0
112,11712,1.0
112,8784,1.0
112,9952,1.0
112,6620,0.0
112,10351,0.0
113,12219,1.0
113,7704,1.0
113,6907,1.0
113,5146,1.0
113,889,1.0
113,4671,1.0
113,9508,1.0
113,8628,1.0
113,1534,1.0
113,10453,0.0
114,10453,1.0
114,10639,1.0
114,4185,1.0
114,3496,1.0
114,3843,1.0
114,2175,1.0
114,1048,1.0
114,5793,1.0
114,11492,0.0
114,9825,0.0
115,5869,1.0
115,6166,1.0
115,3496,1.0
115,5474,1.0
115,11990,1.0
115,12140,1.0
115,4993,1.0
115,11875,1.0
115,920,1.0
115,5322,1.0
116,6187,1.0
116,8426,1.0
116,2177,1.0
116,5251,1.0
116,11868,1.0
116,8634,1.0
116,4106,1.0
116,7879,1.0
116,9234,0.0
116,5607,0.0
117,8071,1.0
117,7073,1.0
117,12661,1.0
117,205,1.0
117,7055,1.0
117,6630,1.0
117,3290,1.0
117,3057,1.0
117,1614,0.0
117,1230,0.0
118,6351,1.0
118,5790,1.0
118,8369,1.0
118,10292,1.0
118,6061,1.0
118,3147,1.0
118,4406,1.0
118,3815,1.0
118,6451,0.0
118,6202,0.0
119,10990,1.0
119,12153,1.0
119,2358,1.0
119,2508,1.0
119,9366,1.0
119,6229,1.0
119,5972,1.0
119,2142,1.0
119,4948,0.0
119,1733,0.0
120,13096,1.0
120,8911,1.0
120,8784,1.0
120,12802,1.0
120,2047,1.0
120,8622,1.0
120,3141,1.0
120,7880,1.0
120,8832,1.0
120,10937,1.0
121,7027,1.0
121,3983,1.0
121,8112,1.0
121,1764,1.0
121,1744,1.0
121,3008,1.0
121,8134,1.0
121,9933,1.0
121,11377,0.0
121,764,0.0
122,6447,1.0
122,8843,1.0
122,2591,1.0
122,982,1.0
122,549,1.0
122,4630,1.0
122,4759,1.0
122,10267,0.0
122,10840,0.0
122,11411,0.0
123,7791,1.0
123,12508,1.0
123,10078,1.0
123,7036,1.0
123,6776,1.0
123,11582,1.0
123,215,1.0
123,6500,1.0
123,9954,0.0
123,7831,0.0
124,3148,1.0
124,437,1.0
124,9553,1.0
124,5845,1.0
124,7709,1.0
124,10261,1.0
124,3935,1.0
124,3722,1.0
124,2738,0.0
124,12415,0.0
125,8177,1.0
125,1130,1.0
125,10594,1.0
125,5131,1.0
125,4148,1.0
125,3405,1.0
125,1709,1.0
125,1313,1.0
125,6660,1.0
125,4635,1.0
126,3294,1.0
126,6553,1.0
126,6962,1.0
126,4608,1.0
126,12849,1.0
126,11209,1.0
126,1758,1.0
126,3724,1.0
126,6551,1.0
126,7545,0.0
127,5879,1.0
127,2907,1.0
127,6238,1.0
127,5663,1.0
127,10095,1.0
127,1550,1.0
127,719,1.0
127,364,1.0
127,7322,1.0
127,2028,0.0
128,3835,1.0
128,5045,1.0
128,1013,1.0
128,13075,1.0
128,11107,1.0
128,7162,1.0
128,7109,1.0
128,6502,1.0
128,4819,1.0
128,6036,1.0
129,8229,1.0
129,8404,1.0
129,3501,1.0
129,5660,1.0
129,1877,1.0
129,3203,1.0
129,291,1.0
129,9534,1.0
129,8885,0.0
129,10949,0.0
130,9592,1.0
130,891,1.0
130,8527,1.0
130,11362,1.0
130,10425,1.0
130,6541,1.0
130,13049,1.0
130,9674,1.0
130,1313,0.0
130,4645,0.0
131,1925,1.0
131,5283,1.0
131,8182,1.0
131,8651,1.0
131,3004,1.0
131,8136,1.0
131,4985,1.0
131,5241,1.0
131,7685,1.0
131,9312,0.0
132,1249,1.0
132,2551,1.0
132,4790,1.0
132,3385,1.0
132,6674,1.0
132,6035,1.0
132,7191,1.0
132,11857,1.0
132,11226,0.0
132,7889,0.0
133,12290,1.0
133,7161,1.0
133,1854,1.0
133,5555,1.0
133,7041,1.0
133,11721,1.0
133,7722,1.0
133,1209,1.0
133,5593,1.0
133,4167,0.0
134,2972,1.0
134,163,1.0
134,9029,1.0
134,7810,1.0
134,6976,1.0
134,3310,1.0
134,11056,1.0
134,12996,1.0
134,6187,1.0
134,7324,1.0
135,1175,1.0
135,3347,1.0
135,10437,1.0
135,9256,1.0
135,11812,1.0
135,6552,1.0
135,10955,1.0
135,7906,1.0
135,5849,0.0
135,4390,0.0
136,5680,1.0
136,298,1.0
136,7920,1.0
136,1045,1.0
136,765,1.0
136,9554,1.0
136,3918,1.0
136,5474,1.0
136,4343,1.0
136,6951,1.0
137,1740,1.0
137,12833,1.0
137,9365,1.0
137,530,1.0
137,3405,1.0
137,4664,1.0
137,11693,1.0
137,6235,1.0
137,6012,0.0
137,1503,0.0
138,11045,1.0
138,4444,1.0
138,12494,1.0
138,3090,1.0
138,11915,1.0
138,6610,1.0
138,3312,1.0
138,9861,1.0
138,6446,0.0
138,8996,0.0
139,1160,1.0
139,3032,1.0
139,10038,1.0
139,9585,1.0
139,8026,1.0
139,7476,1.0
139,7835,1.0
139,6347,0.0
139,6092,0.0
139,3622,0.0
140,2916,1.0
140,4031,1.0
140,9106,1.0
140,9796,1.0
140,8803,1.0
140,2367,1.0
140,5253,1.0
140,2747,1.0
140,4636,1.0
140,951,1.0
141,8289,1.0
141,8275,1.0
141,1836,1.0
141,4182,1.0
141,3624,1.0
141,1884,1.0
141,493,1.0
141,1540,1.0
141,6034,0.0
141,4242,0.0
142,11536,1.0
142,7879,1.0
142,6961,1.0
142,2707,1.0
142,2907,1.0
142,344,1.0
142,7021,1.0
142,2844,0.0
142,6483,0.0
142,7352,0.0
143,9863,1.0
143,380,1.0
143,4614,1.0
143,7577,1.0
143,6244,1.0
143,2442,1.0
143,9080,1.0
143,626,1.0
143,7139,1.0
143,11572,1.0
144,9909,1.0
144,5163,1.0
144,1645,1.0
144,7577,1.0
144,918,1.0
144,4825,1.0
144,3685,1.0
144,6345,1.0
144,6913,1.0
144,10684,1.0
145,6658,1.0
145,9535,1.0
145,3306,1.0
145,2035,1.0
145,2365,1.0
145,3843,1.0
145,7346,1.0
145,9561,1.0
145,10282,1.0
145,9379,0.0
146,2288,1.0
146,9382,1.0
146,7013,1.0
146,3290,1.0
146,7754,1.0
